id,identification,number,cost,price,profit,wage,description
270,RNRTT50X,40,250,13000,15000,500000,"50-_Noi_thang_ren_trong_phun_PPR_DN1.1/2""_PN20_xanh"
271,RT20T20X,400,90,5000,15000,900000,Ba_chac_90do_phun_PPR_DN_20_PN20xanh
272,RT25T25X,240,260,8000,15000,1820000,Ba_chac_90do_phun_PPR_DN_25_PN20xanh
273,RT32T32X,120,810,20000,25000,4050000,Ba_chac_90do_phun_PPR_DN_32_PN20xanh
274,RT40T40X,60,870,37000,45000,6960000,Ba_chac_90do_phun_PPR_DN_40_PN20xanh
275,RT50T50X,30,240,2000,5000,720000,Ba_chac_90do_phun_PPR_DN_50_PN20xanh
276,RT63T63X,25,310,9000,15000,1860000,Ba_chac_90do_phun_PPR_DN_63_PN20xanh
277,RT75T75X,15,880,16000,25000,7920000,Ba_chac_90do_phun_PPR_DN_75_PN20xanh
278,RTC2520X,300,400,35000,45000,4000000,Ba_chac_90do_CB_phun_PPR_DN_25-20PN20xanh
279,RTC3220X,180,260,27000,35000,2080000,-20_Ba_chac_90do_CB_phun_PPR_DN_32P20_xanh
280,RTC3225X,150,500,22000,25000,1500000,-25_Ba_chac_90do_CB_phun_PPR_DN_32PN20xanh
281,RTC4025X,80,430,38000,45000,3010000,Ba_chac_90do_CB_phun_PPR_DN_40-25PN20_xanh
282,RTC4032X,80,60,12000,15000,180000,phun_PPR_DN_40-32_Ba_chac_90do_CBPN20_xanh
283,RTC5025X,60,140,20000,25000,700000,Ba_chac_90do_CB_phun_PPR_DN_50-25PN20_xanh
284,RTC5032X,55,620,17000,25000,4960000,-32_Ba_chac_90do_CB_phun_PPR_DN_50PN20_xanh
285,RTC5040X,50,70,16000,25000,630000,Ba_chac_90do_CB_phun_PPR_DN_50-40PN20_xanh
286,RTC6516X,50,120,32000,35000,360000,Ba_chac_90do_CB_phun_PPR_DN_63-25PN16_xanh
287,RTC6216X,50,320,25000,35000,3200000,-32_Ba_chac_90do_CB_phun_PPR_DN_63PN16_xanh
288,RTC6016X,40,660,28000,35000,4620000,-40_Ba_chac_90do_CB_phun_PPR_DN_63PN16_xanh
289,RTC6350X,30,600,50000,55000,3000000,-50_Ba_chac_90do_CB_phun_PPR_DN_63PN20_mau_xanh
290,RTC7550X,20,250,18000,25000,1750000,-50_Ba_chac_90do_CB_phun_PPR_DN_75PN20_mau_xanh
291,RTC7563X,20,140,48000,55000,980000,-63_Ba_chac_90do_CB_phun_PPR_DN_75PN20_mau_xanh
292,RTC9050X,15,670,40000,45000,3350000,Ba_chac_90do_CB_phun_PPR_DN_90-50PN20_xanh
293,RTRNN20X,10,710,48000,55000,4970000,Ba_chac_90do_ren_ngoai_phun_PPR_DN20-1/2_PN20_xanh
294,RTRN1/2X,10,390,27000,35000,3120000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-1/2_PN20_xanh
295,RTRNN25X,10,910,23000,25000,1820000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-3/4PN20_xanh
296,RTRTT20X,120,790,48000,55000,5530000,Ba_chac_90do_ren_trong_phun_PPR_DN20-1/2_PN20_xanh
297,RTRT1/2X,80,650,9000,15000,3900000,Ba_chac_90do_ren_trong_phun_PPR_DN25-1/2_PN20_xanh
298,RTRTT25X,60,550,38000,45000,3850000,Ba_chac_90do_ren_trong_phun_PPR_DN25-3/4_PN20_xanh
299,RTRTT32X,40,980,10000,15000,4900000,"Ba_chac_90do_ren_trong_phun_PPR_DN_32-1""_PN20_mau_xanh"
300,RL12L125,30,680,14000,15000,680000,Noi_goc_90do_phun_PPR_DN_125_PN20
301,RL14L140,30,660,21000,25000,2640000,Noi_goc_90do_phun_PPR_DN_140_PN20
302,RL166016,20,60,47000,55000,480000,Noi_goc_90do_phun_PPR_DN_160_PN16
303,RL200016,300,770,17000,25000,6160000,Noi_goc_90do_phun_PPR_DN_200_PN16
304,RN12N125,300,900,24000,35000,9900000,Noi_thang_phun_PPR_DN_125_PN20
305,RN14N140,300,570,46000,55000,5130000,Noi_thang_phun_PPR_DN_140_PN20
306,RN16N160,300,840,44000,45000,840000,Noi_thang_phun_PPR_DN_160_PN20
307,RN20N200,300,830,36000,45000,7470000,Noi_thang_phun_PPR_DN_200_PN20
308,RNB1B125,300,150,7000,15000,1200000,Dau_noi_bang_bich_phun_PPR_DN_125PN20
309,RNB1B140,300,610,4000,5000,610000,Dau_noi_bang_bich_phun_PPR_DN_140PN20
310,RNB14010,300,730,42000,45000,2190000,Dau_noi_bang_bich_phun_PPR_DN_140PN10
311,RNB1B160,300,520,29000,35000,3120000,Dau_noi_bang_bich_phun_PPR_DN_160PN20
312,RNB1B180,300,50,48000,55000,350000,Dau_noi_bang_bich_phun_PPR_DN_180PN20
313,RNB2B200,300,320,45000,55000,3200000,Dau_noi_bang_bich_phun_PPR_DN_200PN20
314,RNB20010,300,230,13000,15000,460000,Dau_noi_bang_bich_phun_PPR_DN_200PN10
315,RNC15110,300,280,37000,45000,2240000,Noi_thang_CB_phun_PPR_DN_125-110PN20
316,RNC1110D,300,730,16000,25000,6570000,Noi_thang_CB_phun_PPR_DN_140-110PN20
317,RNC14090,300,360,7000,15000,2880000,Noi_thang_CB_phun_PPR_DN_140-90PN20
318,RNC10110,300,580,9000,15000,3480000,-110_Noi_thang_CB_phun_PPR_DN_160PN20
319,RNC10140,300,110,44000,55000,1210000,-140_Noi_thang_CB_phun_PPR_DN_160PN20
320,RNC20125,300,940,21000,25000,3760000,-125_Noi_thang_CB_phun_PPR_DN_200PN20
321,RT12T125,300,240,19000,25000,1440000,Ba_chac_90do_phun_PPR_DN_125_PN20
322,RT14T140,300,880,9000,15000,5280000,Ba_chac_90do_phun_PPR_DN_140_PN20
323,RT166016,300,800,37000,45000,6400000,Ba_chac_90do_phun_PPR_DN_160_PN16
324,RTC14075,300,500,45000,55000,5000000,Ba_chac_90do_CB_phun_PPR_DN_140_-75PN20
325,RTC24016,300,570,42000,45000,1710000,Ba_chac_90do_CB_phun_PPR_D_200-140PN16
326,RUB5UB50,300,650,12000,15000,1950000,Bich_noi_ong_phun_PPR_-UV_DN_50_PN20
327,RUDBDB20,600,440,30000,35000,2200000,Dau_bit_phun_PPR-UV_DN_20_PN20
328,RUDBDB25,360,470,15000,25000,4700000,Dau_bit_phun_PPR-UV_DN_25_PN20
329,RUDBDB32,400,730,4000,5000,730000,Dau_bit_phun_PPR_-UV_DN_32_PN20
330,RUDBDB40,300,460,44000,45000,460000,Dau_bit_phun_PPR_-UV_DN_40_PN20
331,RUDBDB50,120,860,7000,15000,6880000,Dau_bit_phun_PPR-UV_DN_50_PN20
332,RUL2UL20,280,740,37000,45000,5920000,Noi_goc_90do_phun_PPR-UV_DN_20PN20
333,RUL2UL25,320,690,42000,45000,2070000,Noi_goc_90do_phun_PPR-UV_DN_25PN20
334,RUL3UL32,160,280,12000,15000,840000,Noi_goc_90do_phun_PPR-UV_DN_32PN20
335,RUL4UL40,80,680,47000,55000,5440000,Noi_goc_90do_phun_PPR-UV_DN_40PN20
336,RUL5UL50,48,670,24000,25000,670000,Noi_goc_90do_phun_PPR-UV_DN_50PN20
337,RUL6UL63,35,470,49000,55000,2820000,Noi_goc_90do_phun_PPR-UV_DN_63PN20
338,RULK51/2,25,620,17000,25000,4960000,"Noi_goc_90do_kep_ren_trong_PPR_-UV_DN25-1/2""_PN20"
339,RULLLL20,300,1000,30000,35000,5000000,Noi_goc_45do_phun_PPR-UV_DN_20PN20
340,RULLLL25,400,850,42000,45000,2550000,Noi_goc_45do_phun_PPR-UV_DN_25PN20
341,RULLLL32,240,360,2000,5000,1080000,Noi_goc_45do_phun_PPR-UV_DN_32PN20
342,RULLLL40,90,820,42000,45000,2460000,Noi_goc_45do_phun_PPR-UV_DN_40PN20
343,RULLLL50,60,580,25000,35000,5800000,#NAME?
344,RULLLL63,50,560,14000,15000,560000,#NAME?
345,RULRRN20,50,310,30000,35000,1550000,"-UV_Noi_goc_90do_ren_ngoai_phun_PPRDN20-1/2""_PN2"
346,RULRRN25,50,50,42000,45000,150000,"Noi_goc_90do_ren_ngoai_phun_PPR-UVDN_25-3/4""_PN20"
347,RULR1/2D,50,950,2000,5000,2850000,"UV_Noi_goc_90do_ren_ngoai_phun_PPRDN_25-1/2""_PN20"
348,RULRRT20,150,860,16000,25000,7740000,"Noi_goc_90do_ren_trong_phun_PPR-UVDN_20-1/2""_PN20"
349,RULRRT25,120,520,33000,35000,1040000,"Noi_goc_90do_ren_trong_phun_PPR-UVDN_25-3/4""_PN20"
350,RULR51/2,100,200,6000,15000,1800000,"UV_Noi_goc_90do_ren_trong_phun_PPRDN_25-1/2""_PN20"
351,RUN2UN20,100,260,13000,15000,520000,Noi_thang_phun_PPR-UV_DN_20_PN20
352,RUN2UN25,100,140,14000,15000,140000,Noi_thang_phun_PPR_-UV_DN_25_PN20
353,RUN3UN32,100,560,40000,45000,2800000,Noi_thang_phun_PPR-UV_DN_32_PN20
354,RUN4UN40,100,640,23000,25000,1280000,Noi_thang_phun_PPR_-UV_DN_40_PN20
355,RUN5UN50,100,450,1000,5000,1800000,Noi_thang_phun_PPR_-UV_DN_50_PN20
356,RUN6UN63,100,130,15000,25000,1300000,Noi_thang_phun_PPR_-UV_DN_63_PN20
357,RUNC2520,280,560,47000,55000,4480000,Noi_thang_CB_phun_PPRPN20
358,RUNC3220,360,670,36000,45000,6030000,Noi_thang_CB_phun_PPRPN20
359,RUNC3225,300,940,19000,25000,5640000,Noi_thang_CB_phun_PPR-UV_DN_32-25PN20
360,RUNC4020,200,50,50000,55000,250000,Noi_thang_CB_phun_PPRPN20
361,RUNC4025,200,70,38000,45000,490000,Noi_thang_CB_phun_PPR-UV_DN_40-25PN20
362,RUNC4032,180,60,46000,55000,540000,Noi_thang_CB_phun_PPR-UV_DN_40-32PN20
363,RUNC5020,120,820,25000,35000,8200000,Noi_thang_CB_phun_PPRPN20
364,RUNC5025,120,330,30000,35000,1650000,Noi_thang_CB_phun_PPR-UV_DN_50-25PN20
365,RUNC5032,120,610,44000,55000,6710000,Noi_thang_CB_phun_PPRPN20
366,RUNC5040,100,430,8000,15000,3010000,Noi_thang_CB_phun_PPR-UV_DN_50-40PN20
367,RUNC6332,100,690,39000,45000,4140000,Noi_thang_CB_phun_PPRPN20
368,RUNC6340,80,500,46000,55000,4500000,Noi_thang_CB_phun_PPRPN20
369,RUNC6350,70,340,40000,45000,1700000,Noi_thang_CB_phun_PPR-UV_DN_63-50PN20
370,RUNRRN20,150,600,37000,45000,4800000,"Noi_thang_ren_ngoai_phun_PPR201/2""_PN20"
371,RUNRRN25,90,60,40000,45000,300000,"Noi_thang_ren_ngoai_phun_PPR-UV_DN253/4""_PN20"
372,RUNR1/2D,120,190,9000,15000,1140000,"Noi_thang_ren_ngoai_phun_PPR25-1/2""_PN20"
373,RUNRRN32,40,800,6000,15000,7200000,Noi_thang_ren_ngoai32-1''_PN20
374,RUNRRN40,40,240,50000,55000,1200000,Noi_thang_ren_ngoai40-1.1/4''_PN20
375,RUNRRN50,40,290,35000,45000,2900000,Noi_thang_ren_ngoai50
376,RUNRRN63,15,430,44000,55000,4730000,Noi_thang_ren_ngoai63-2''_PN20
377,RUNRRT20,200,930,49000,55000,5580000,"Noi_thang_ren_trong_phun_PPR20-1/2""_PN20"
378,RUNRRT25,120,310,19000,25000,1860000,"Noi_thang_ren_trong_phun_PPR-UV_DN25-3/4""_PN20"
379,RUNR51/2,150,370,8000,15000,2590000,"Noi_thang_ren_trong_phun_PPR25-1/2""_PN20"
380,RUNRRT32,40,970,22000,25000,2910000,Noi_thang_ren_trong_phun_PPR32-1''_PN20
381,RUNRRT40,40,60,39000,45000,360000,Noi_thang_ren_trong_phun_PPR-UV_DN40-1.1/4''_PN20
382,RUNRRT50,40,880,10000,15000,4400000,Noi_thang_ren_trong_phun_PPR50-1.1/2''_PN20
383,RUNRRT63,15,520,16000,25000,4680000,Noi_thang_ren_trong_phun_PPR-UV_DN63-2''_PN20
384,RUOT2020,210,820,14000,15000,820000,Ong_tranh_phun_PPR_-UV_DN_20_PN20
385,RUOTOT25,120,530,46000,55000,4770000,Ong_tranh_phun_PPR_-UV_DN_25_PN20
386,RUT2UT20,400,500,34000,45000,5500000,#NAME?
387,RUT2UT25,240,600,3000,5000,1200000,#NAME?
388,RUT3UT32,120,510,46000,55000,4590000,#NAME?
389,RUT4UT40,60,900,18000,25000,6300000,#NAME?
390,RUT5UT50,30,870,27000,35000,6960000,#NAME?
391,RUT6UT63,25,810,40000,45000,4050000,Ba_chac_90do_phun_PPR-UV_DN_63PN20
392,RUTC2520,280,180,30000,35000,900000,Ba_chac_90do_CB_phun_PPR-UV_DN_25-20PN20
393,RUTC3220,180,80,27000,35000,640000,Ba_chac_90do_CB_phun_PPR_-UV_DN_32-2PN20
394,RUTC3225,150,830,1000,5000,3320000,Ba_chac_90do_CB_phun_PPR-UV_DN_32-25PN20
395,RUTC4020,100,560,2000,5000,1680000,Ba_chac_90do_CB_phun_PPR_-UV_DN_40-20PN20
396,RUTC4025,80,530,5000,15000,5300000,Ba_chac_90do_CB_phun_PPR-UV_DN_40-25PN20
397,RUTC4032,80,240,43000,55000,2880000,Ba_chac_90do_CB_phun_PPR-UV_DN_40-32_PN20
398,RUTC5020,64,540,43000,45000,1080000,Ba_chac_90do_CB_phun_PPR_-UV_DN_50-20_PN20
399,RUTC5025,60,700,48000,55000,4900000,Ba_chac_90do_CB_phun_PPR-UV_DN_50-25_PN20
400,RUTC5032,55,530,35000,45000,5300000,Ba_chac_90do_CB_phun_PPR_-UV_DN_50-32_PN20
401,RUTC5040,50,380,38000,45000,2660000,Ba_chac_90do_CB_phun_PPR-UV_DN_50-40_PN20
402,RUTC6325,50,110,42000,45000,330000,Ba_chac_90do_CB_phun_PPR_-UV_DN_63-25_PN20
403,RUTC6332,50,370,27000,35000,2960000,Ba_chac_90do_CB_phun_PPR_-UV_DN_63-32_PN20
404,RUTC6350,30,210,42000,45000,630000,Ba_chac_90do_CB_phun_PPR-UV_DN_63-50_PN20
405,RUTRRN20,30,920,7000,15000,7360000,"UV_Ba_chac_90do_ren_ngoai_phun_PPRDN_20-1/2""_PN20"
406,RUTRRN25,30,970,1000,5000,3880000,Ba_chac_90do_ren_ngoai_phun_PPR-UVDN_25-3/4_PN20
407,RUTR1/2D,30,450,41000,45000,1800000,"UV_Ba_chac_90do_ren_ngoai_phun_PPRDN_25-1/2""_PN20"
408,RUTRRN32,40,600,50000,55000,3000000,"Ba_chac_90do_ren_ngoai_phun_PPR-UVDN_32-1""_PN20"
409,RUTRRT20,120,550,14000,15000,550000,"Ba_chac_90do_ren_trong_phun_PPR-UVDN_20-1/2""_PN20"
410,RUTRRT25,60,560,3000,5000,1120000,-UV_Ba_chac_90do_ren_trong_phun_PPRDN_25-3/4_PN20
411,RUTR51/2,80,370,23000,25000,740000,"UV_Ba_chac_90do_ren_trong_phun_PPRDN_25-1/2""_PN20"
412,RUV2UV20,60,810,50000,55000,4050000,Van_chan_phun_PPR_-UV_DN_20
413,RUV2UV25,60,720,39000,45000,4320000,Van_chan_phun_PPR_-UV_DN_25
414,RUV3UV32,36,840,29000,35000,5040000,Van_chan_phun_PPR_-UV_DN_32
415,RUV4UV40,20,580,13000,15000,1160000,Van_chan_phun_PPR_-UV_DN_40
416,RUV5UV50,20,950,37000,45000,7600000,Van_chan_phun_PPR-UV_DN_50
417,RUVCVC20,60,900,25000,35000,9000000,Van_cua_phun_PPR-UV_DN_20
418,RUVCVC25,40,100,46000,55000,900000,Van_cua_phun_PPR_-UV_DN_25
419,RUVCVC32,30,380,48000,55000,2660000,Van_cua_phun_PPR_-UV_DN_32
420,RUVCVC40,12,310,31000,35000,1240000,Van_cua_phun_PPR-UV_DN_40
421,RUVCVC50,12,210,1000,5000,840000,Van_cua_phun_PPR-UV_DN_50
422,RUVCVC63,8,340,6000,15000,3060000,Van_cua_phun_PPR_-UV_DN_63
423,RUZCZC20,8,140,2000,5000,420000,Zac_co_phun_PPR_-UV_DN_20
424,RUZCZC25,8,390,46000,55000,3510000,Zac_co_phun_PPR-UV_DN_25
425,RUZCZC32,8,740,9000,15000,4440000,Zac_co_phun_PPR-UV_DN_32
426,RUZCZC40,8,570,10000,15000,2850000,Zac_co_phun_PPR_-UV_DN_40
427,RUZCZC50,8,670,7000,15000,5360000,Zac_co_phun_PPR_-UV_DN_50
428,RUZCZC63,8,320,38000,45000,2240000,Zac_co_phun_PPR-UV_DN_63
429,RUZRRN20,90,650,20000,25000,3250000,"Zacco_ren_ngoai_phun_PPR-UV_DN_20-1/2""PN20"
430,RUZRRN25,30,550,13000,15000,1100000,"-UV_DN_25-_Zacco_ren_ngoai_phun_PPR3/4""_PN20"
431,RUZRRN32,30,680,49000,55000,4080000,"Zacco_ren_ngoai_phun_PPR-UV_DN_32-1""PN20"
432,RUZRRN40,24,660,41000,45000,2640000,-UV_DN_40-_Zacco_ren_ngoai_phun_PPR1.1/4_PN20
433,RUZRRN63,12,800,9000,15000,4800000,"Zac_co_ren_ngoai_phun_PPR-UV_DN_63_-2""_PN20"
434,RUZRRT25,30,240,40000,45000,1200000,"Zacco_ren_trong_phun_PPR-UV_DN_25-3/4""_PN20"
