Ord,#,N,Des
375,RUNRRN50,40,Nối thẳng ren ngoài50
376,RUNRRN63,15,Nối thẳng ren ngoài63-2'' PN20
377,RUNRRT20,200,"Nối thẳng ren trong phun PPR20-1/2"" PN20"
378,RUNRRT25,120,"Nối thẳng ren trong phun PPR-UV DN25-3/4"" PN20"
379,RUNR51/2,150,"Nối thẳng ren trong phun PPR25-1/2"" PN20"
380,RUNRRT32,40,Nối thẳng ren trong phun PPR32-1'' PN20
381,RUNRRT40,40,Nối thẳng ren trong phun PPR-UV DN40-1.1/4'' PN20
382,RUNRRT50,40,Nối thẳng ren trong phun PPR50-1.1/2'' PN20
383,RUNRRT63,15,Nối thẳng ren trong phun PPR-UV DN63-2'' PN20
384,RUOT2020,210,Ống tránh phun PPR -UV DN 20 PN20
385,RUOTOT25,120,Ống tránh phun PPR -UV DN 25 PN20
386,RUT2UT20,400,-UV DN 20 Ba chạc 90độ phun PPRPN20
387,RUT2UT25,240,-UV DN 25 Ba chạc 90độ phun PPRPN20
388,RUT3UT32,120,-UV DN 32 Ba chạc 90độ phun PPRPN20
389,RUT4UT40,60,-UV DN 40 Ba chạc 90độ phun PPRPN20
390,RUT5UT50,30,-UV DN 50 Ba chạc 90độ phun PPRPN20
391,RUT6UT63,25,Ba chạc 90độ phun PPR-UV DN 63PN20
392,RUTC2520,280,Ba chạc 90độ CB phun PPR-UV DN 25-20PN20
393,RUTC3220,180,Ba chạc 90độ CB phun PPR -UV DN 32-2PN20
394,RUTC3225,150,Ba chạc 90độ CB phun PPR-UV DN 32-25PN20
395,RUTC4020,100,Ba chạc 90độ CB phun PPR -UV DN 40-20PN20
396,RUTC4025,80,Ba chạc 90độ CB phun PPR-UV DN 40-25PN20
397,RUTC4032,80,Ba chạc 90độ CB phun PPR-UV DN 40-32 PN20
398,RUTC5020,64,Ba chạc 90độ CB phun PPR -UV DN 50-20 PN20
399,RUTC5025,60,Ba chạc 90độ CB phun PPR-UV DN 50-25 PN20
400,RUTC5032,55,Ba chạc 90độ CB phun PPR -UV DN 50-32 PN20
401,RUTC5040,50,Ba chạc 90độ CB phun PPR-UV DN 50-40 PN20
402,RUTC6325,50,Ba chạc 90độ CB phun PPR -UV DN 63-25 PN20
403,RUTC6332,50,Ba chạc 90độ CB phun PPR -UV DN 63-32 PN20
404,RUTC6350,30,Ba chạc 90độ CB phun PPR-UV DN 63-50 PN20
405,RUTRRN20,30,"UV Ba chạc 90độ ren ngoài phun PPRDN 20-1/2"" PN20"
406,RUTRRN25,30,Ba chạc 90độ ren ngoài phun PPR-UVDN 25-3/4 PN20
407,RUTR1/2D,30,"UV Ba chạc 90độ ren ngoài phun PPRDN 25-1/2"" PN20"
408,RUTRRN32,40,"Ba chạc 90độ ren ngoài phun PPR-UVDN 32-1"" PN20"
409,RUTRRT20,120,"Ba chạc 90độ ren trong phun PPR-UVDN 20-1/2"" PN20"
410,RUTRRT25,60,-UV Ba chạc 90độ ren trong phun PPRDN 25-3/4 PN20
411,RUTR51/2,80,"UV Ba chạc 90độ ren trong phun PPRDN 25-1/2"" PN20"
412,RUV2UV20,60,Van chặn phun PPR -UV DN 20
413,RUV2UV25,60,Van chặn phun PPR -UV DN 25
414,RUV3UV32,36,Van chặn phun PPR -UV DN 32
415,RUV4UV40,20,Van chặn phun PPR -UV DN 40
416,RUV5UV50,20,Van chặn phun PPR-UV DN 50
417,RUVCVC20,60,Van cửa phun PPR-UV DN 20
418,RUVCVC25,40,Van cửa phun PPR -UV DN 25
419,RUVCVC32,30,Van cửa phun PPR -UV DN 32
420,RUVCVC40,12,Van cửa phun PPR-UV DN 40
421,RUVCVC50,12,Van cửa phun PPR-UV DN 50
422,RUVCVC63,8,Van cửa phun PPR -UV DN 63
423,RUZCZC20,8,Zắc co phun PPR -UV DN 20
424,RUZCZC25,8,Zắc co phun PPR-UV DN 25
425,RUZCZC32,8,Zắc co phun PPR-UV DN 32
426,RUZCZC40,8,Zắc co phun PPR -UV DN 40
427,RUZCZC50,8,Zắc co phun PPR -UV DN 50
428,RUZCZC63,8,Zắc co phun PPR-UV DN 63
429,RUZRRN20,90,"Zắcco ren ngoài phun PPR-UV DN 20-1/2""PN20"
430,RUZRRN25,30,"-UV DN 25- Zắcco ren ngoài phun PPR3/4"" PN20"
431,RUZRRN32,30,"Zắcco ren ngoài phun PPR-UV DN 32-1""PN20"
432,RUZRRN40,24,-UV DN 40- Zắcco ren ngoài phun PPR1.1/4 PN20
433,RUZRRN63,12,"Zắc co ren ngoài phun PPR-UV DN 63 -2"" PN20"
434,RUZRRT25,30,"Zắcco ren trong phun PPR-UV DN 25-3/4"" PN20"
