id, product, total_despatched, total_age, total_cost, total_wage, demand, flow, total_order
296, RULRRN20, 1586, 12389964762000, 10150400, 22204000, 4.34520548, 9.27485380, 171
297, RULRRN25, 1217, 8778408873000, 7788800, 17038000, 3.33424658, 8.22297297, 148
298, RULRRT20, 1640, 11293724810000, 10496000, 22960000, 4.49315068, 9.53488372, 172
299, RULRRT25, 1598, 11611235877000, 10227200, 22372000, 4.37808219, 9.13142857, 175
300, RUN2UN20, 1451, 11553972937000, 9286400, 20314000, 3.97534247, 9.73825503, 149
301, RUN2UN25, 1410, 12372594541000, 9024000, 19740000, 3.86301370, 10.07142857, 140
302, RUN3UN32, 1375, 10250891357000, 8800000, 19250000, 3.76712329, 9.10596026, 151
303, RUN4UN40, 1369, 11903876380000, 8761600, 19166000, 3.75068493, 9.06622517, 151
304, RUN5UN50, 1427, 11364248266000, 9132800, 19978000, 3.90958904, 8.97484277, 159
305, RUN6UN63, 1480, 11031405517000, 9472000, 20720000, 4.05479452, 9.02439024, 164
306, RUNC2520, 1608, 11985283538000, 10291200, 22512000, 4.40547945, 9.08474576, 177
307, RUNC3220, 1494, 12101359005000, 9561600, 20916000, 4.09315068, 9.00000000, 166
308, RUNC3225, 1702, 13057788014000, 10892800, 23828000, 4.66301370, 9.25000000, 184
309, RUNC4020, 1480, 10402623083000, 9472000, 20720000, 4.05479452, 9.86666667, 150
310, RUNC4025, 1375, 10127832664000, 8800000, 19250000, 3.76712329, 8.75796178, 157
311, RUNC4032, 1689, 11889636039000, 10809600, 23646000, 4.62739726, 9.54237288, 177
312, RUNC5020, 1490, 11514654385000, 9536000, 20860000, 4.08219178, 8.97590361, 166
313, RUNC5025, 1609, 11852762338000, 10297600, 22526000, 4.40821918, 8.65053763, 186
314, RUNC5032, 1368, 10673781011000, 8755200, 19152000, 3.74794521, 9.05960265, 151
315, RUNC5040, 1670, 13412758290000, 10688000, 23380000, 4.57534247, 9.12568306, 183
316, RUNC6332, 1494, 12784810470000, 9561600, 20916000, 4.09315068, 9.51592357, 157
317, RUNC6340, 1517, 12811247609000, 9708800, 21238000, 4.15616438, 9.08383234, 167
318, RUNC6350, 1386, 11155562972000, 8870400, 19404000, 3.79726027, 9.30201342, 149
319, RUNR1/2D, 1439, 11110430268000, 9209600, 20146000, 3.94246575, 9.72297297, 148
320, RUNR51/2, 1554, 12859856897000, 9945600, 21756000, 4.25753425, 9.30538922, 167
321, RUNRRN20, 1425, 11011478118000, 9120000, 19950000, 3.90410959, 9.56375839, 149
322, RUNRRN25, 1529, 10449180435000, 9785600, 21406000, 4.18904110, 9.43827160, 162
323, RUNRRN32, 1576, 12950562692000, 10086400, 22064000, 4.31780822, 9.49397590, 166
324, RUNRRN40, 1216, 9341137764000, 7782400, 17024000, 3.33150685, 9.00740741, 135
325, RUNRRN50, 1575, 10939391976000, 10080000, 22050000, 4.31506849, 9.15697674, 172
326, RUNRRN63, 1445, 9964766750000, 9248000, 20230000, 3.95890411, 9.20382166, 157
327, RUNRRT20, 1566, 13399021170000, 10022400, 21924000, 4.29041096, 9.72670807, 161
328, RUNRRT25, 1491, 11993211758000, 9542400, 20874000, 4.08493151, 8.87500000, 168
329, RUNRRT32, 1549, 12070694812000, 9913600, 21686000, 4.24383562, 8.75141243, 177
330, RUNRRT40, 1497, 10460522832000, 9580800, 20958000, 4.10136986, 9.35625000, 160
331, RUNRRT50, 1386, 9760325434000, 8870400, 19404000, 3.79726027, 9.17880795, 151
332, RUNRRT63, 1519, 11822612997000, 9721600, 21266000, 4.16164384, 9.67515924, 157
333, RUOT2020, 1354, 9275416075000, 8665600, 18956000, 3.70958904, 9.27397260, 146
334, RUOTOT25, 1464, 10821622534000, 9369600, 20496000, 4.01095890, 9.20754717, 159
335, RUT2UT20, 1560, 13324824583000, 9984000, 21840000, 4.27397260, 9.34131737, 167
336, RUT2UT25, 1632, 11427997382000, 10444800, 22848000, 4.47123288, 9.16853933, 178
337, RUT3UT32, 1556, 11702871465000, 9958400, 21784000, 4.26301370, 9.54601227, 163
338, RUT4UT40, 1491, 10506867887000, 9542400, 20874000, 4.08493151, 9.31875000, 160
339, RUT5UT50, 1315, 10248768122000, 8416000, 18410000, 3.60273973, 9.13194444, 144
340, RUT6UT63, 1587, 12039680891000, 10156800, 22218000, 4.34794521, 9.39053254, 169
341, RUTC2520, 1141, 7651913365000, 7302400, 15974000, 3.12602740, 8.70992366, 131
342, RUTC3220, 1337, 11553099006000, 8556800, 18718000, 3.66301370, 9.15753425, 146
343, RUTC3225, 1449, 12177668877000, 9273600, 20286000, 3.96986301, 9.17088608, 158
344, RUTC4020, 1450, 11946873340000, 9280000, 20300000, 3.97260274, 8.84146341, 164
345, RUTC4025, 1330, 9584954726000, 8512000, 18620000, 3.64383562, 8.52564103, 156
346, RUTC4032, 1444, 13136516290000, 9241600, 20216000, 3.95616438, 9.50000000, 152
347, RUTC5020, 1589, 13220745095000, 10169600, 22246000, 4.35342466, 9.99371069, 159
348, RUTC5025, 1469, 12818494834000, 9401600, 20566000, 4.02465753, 8.69230769, 169
349, RUTC5032, 1410, 11177554518000, 9024000, 19740000, 3.86301370, 8.59756098, 164
350, RUTC5040, 1250, 10351346295000, 8000000, 17500000, 3.42465753, 8.86524823, 141
351, RUTC6325, 1192, 9773020459000, 7628800, 16688000, 3.26575342, 8.45390071, 141
352, RUTC6332, 1344, 11239044108000, 8601600, 18816000, 3.68219178, 9.53191489, 141
353, RUTC6350, 1601, 11907784333000, 10246400, 22414000, 4.38630137, 9.70303030, 165
354, RUTR1/2D, 1489, 9846127615000, 9529600, 20846000, 4.07945205, 9.19135802, 162
355, RUTR51/2, 1342, 8888573939000, 8588800, 18788000, 3.67671233, 9.12925170, 147
356, RUTRRN20, 1637, 13061169119000, 10476800, 22918000, 4.48493151, 9.04419890, 181
357, RUTRRN25, 1546, 12027471447000, 9894400, 21644000, 4.23561644, 9.78481013, 158
358, RUTRRN32, 1324, 9536581963000, 8473600, 18536000, 3.62739726, 9.13103448, 145
359, RUTRRT20, 1267, 10405178472000, 8108800, 17738000, 3.47123288, 8.92253521, 142
360, RUTRRT25, 1701, 13517174520000, 10886400, 23814000, 4.66027397, 9.72000000, 175
361, RUV2UV20, 1859, 14719071937000, 11897600, 26026000, 5.09315068, 10.15846995, 183
362, RUV2UV25, 1381, 11632001666000, 8838400, 19334000, 3.78356164, 9.33108108, 148
363, RUV3UV32, 1509, 12237897894000, 9657600, 21126000, 4.13424658, 9.14545455, 165
364, RUV4UV40, 1492, 12322418377000, 9548800, 20888000, 4.08767123, 9.50318471, 157
365, RUV5UV50, 1329, 11465002340000, 8505600, 18606000, 3.64109589, 9.49285714, 140
366, RUVCVC20, 1394, 13071679288000, 8921600, 19516000, 3.81917808, 9.61379310, 145
367, RUVCVC25, 1503, 11795231622000, 9619200, 21042000, 4.11780822, 8.94642857, 168
368, RUVCVC32, 1520, 12244789603000, 9728000, 21280000, 4.16438356, 9.26829268, 164
369, RUVCVC40, 1669, 12346658678000, 10681600, 23366000, 4.57260274, 9.59195402, 174
370, RUVCVC50, 1616, 12382671328000, 10342400, 22624000, 4.42739726, 9.45029240, 171
371, RUVCVC63, 1211, 9157563158000, 7750400, 16954000, 3.31780822, 8.23809524, 147
372, RUZCZC20, 1428, 9750836243000, 9139200, 19992000, 3.91232877, 9.58389262, 149
373, RUZCZC25, 1532, 13928600641000, 9804800, 21448000, 4.19726027, 9.28484848, 165
374, RUZCZC32, 1431, 11587953249000, 9158400, 20034000, 3.92054795, 9.05696203, 158
375, RUZCZC40, 1575, 11708002741000, 10080000, 22050000, 4.31506849, 9.31952663, 169
376, RUZCZC50, 1346, 10547105808000, 8614400, 18844000, 3.68767123, 9.47887324, 142
377, RUZCZC63, 1397, 12285544258000, 8940800, 19558000, 3.82739726, 8.67701863, 161
378, RUZRRN20, 1638, 11072555448000, 10483200, 22932000, 4.48767123, 9.04972376, 181
379, RUZRRN25, 1487, 10693254970000, 9516800, 20818000, 4.07397260, 8.69590643, 171
380, RUZRRN32, 1234, 12022353199000, 7897600, 17276000, 3.38082192, 8.45205479, 146
381, RUZRRN40, 1532, 11053237746000, 9804800, 21448000, 4.19726027, 9.45679012, 162
382, RUZRRN63, 1592, 14176862291000, 10188800, 22288000, 4.36164384, 9.30994152, 171
383, RUZRRT25, 1302, 9037035714000, 8332800, 18228000, 3.56712329, 8.18867925, 159
384, RV20RV20, 1526, 12547207424000, 9766400, 21364000, 4.18082192, 9.36196319, 163
385, RV20V20X, 1430, 10850824684000, 9152000, 20020000, 3.91780822, 9.10828025, 157
386, RV25RV25, 1208, 8197326405000, 7731200, 16912000, 3.30958904, 8.27397260, 146
387, RV25V25X, 1356, 10033231279000, 8678400, 18984000, 3.71506849, 8.58227848, 158
388, RV32RV32, 1358, 11035727651000, 8691200, 19012000, 3.72054795, 9.43055556, 144
389, RV32V32X, 1323, 10681456052000, 8467200, 18522000, 3.62465753, 8.76158940, 151
390, RV40RV40, 1620, 13199497304000, 10368000, 22680000, 4.43835616, 9.10112360, 178
391, RV40V40X, 1296, 10168772731000, 8294400, 18144000, 3.55068493, 8.47058824, 153
392, RV50RV50, 1373, 10563473409000, 8787200, 19222000, 3.76164384, 8.85806452, 155
393, RV50V50X, 1538, 12475340980000, 9843200, 21532000, 4.21369863, 9.20958084, 167
394, RVC2C20X, 1675, 14480264515000, 10720000, 23450000, 4.58904110, 9.15300546, 183
395, RVC2C25X, 1549, 12784359557000, 9913600, 21686000, 4.24383562, 9.38787879, 165
396, RVC2VC20, 1606, 13752957683000, 10278400, 22484000, 4.40000000, 9.79268293, 164
397, RVC2VC25, 1508, 12546212284000, 9651200, 21112000, 4.13150685, 9.48427673, 159
398, RVC3C32X, 1335, 10660860811000, 8544000, 18690000, 3.65753425, 9.02027027, 148
399, RVC3VC32, 1281, 10711672621000, 8198400, 17934000, 3.50958904, 8.21153846, 156
400, RVC4C40X, 1259, 10292731055000, 8057600, 17626000, 3.44931507, 8.86619718, 142
401, RVC4VC40, 1448, 11149306774000, 9267200, 20272000, 3.96712329, 9.58940397, 151
402, RVC5C50X, 1395, 11497691628000, 8928000, 19530000, 3.82191781, 9.23841060, 151
403, RVC5VC50, 1386, 12025039099000, 8870400, 19404000, 3.79726027, 8.88461538, 156
404, RVC6C63X, 1596, 13211178595000, 10214400, 22344000, 4.37260274, 9.79141104, 163
405, RVC6VC63, 1529, 11274150094000, 9785600, 21406000, 4.18904110, 9.99346405, 153
406, RZC22010, 1341, 11007411117000, 8582400, 18774000, 3.67397260, 8.70779221, 154
407, RZC22510, 1551, 12442491617000, 9926400, 21714000, 4.24931507, 8.91379310, 174
408, RZC2C20X, 1498, 11979615472000, 9587200, 20972000, 4.10410959, 9.19018405, 163
409, RZC2C25X, 1629, 13330504114000, 10425600, 22806000, 4.46301370, 9.36206897, 174
410, RZC33210, 1330, 9803236824000, 8512000, 18620000, 3.64383562, 9.17241379, 145
411, RZC3C32X, 1555, 13239613805000, 9952000, 21770000, 4.26027397, 9.42424242, 165
412, RZC4C408, 1383, 10716336752000, 8851200, 19362000, 3.78904110, 9.22000000, 150
413, RZC4C40X, 1354, 11583661034000, 8665600, 18956000, 3.70958904, 8.56962025, 158
414, RZC5C506, 1587, 9876441252000, 10156800, 22218000, 4.34794521, 9.17341040, 173
415, RZC5C50X, 1307, 10542689451000, 8364800, 18298000, 3.58082192, 9.20422535, 142
416, RZC6C636, 1521, 12819417803000, 9734400, 21294000, 4.16712329, 9.50625000, 160
417, RZRNN20X, 1756, 13026165933000, 11238400, 24584000, 4.81095890, 9.75555556, 180
418, RZRNN25X, 1472, 10246767063000, 9420800, 20608000, 4.03287671, 9.81333333, 150
419, RZRNN32X, 1432, 9808421713000, 9164800, 20048000, 3.92328767, 9.42105263, 152
420, RZRNN50X, 1509, 10487383912000, 9657600, 21126000, 4.13424658, 9.61146497, 157
421, RZRNRN20, 1354, 12137478924000, 8665600, 18956000, 3.70958904, 8.90789474, 152
422, RZRNRN25, 1319, 10513495687000, 8441600, 18466000, 3.61369863, 8.73509934, 151
423, RZRNRN32, 1474, 14233937134000, 9433600, 20636000, 4.03835616, 9.38853503, 157
424, RZRNRN40, 1244, 10361911694000, 7961600, 17416000, 3.40821918, 8.69930070, 143
425, RZRNRN50, 1518, 12047660559000, 9715200, 21252000, 4.15890411, 9.31288344, 163
426, RZRNRN63, 1717, 14474523641000, 10988800, 24038000, 4.70410959, 9.18181818, 187
427, RZRTRT20, 1411, 10636243414000, 9030400, 19754000, 3.86575342, 8.50000000, 166
428, RZRTRT25, 1308, 10355164513000, 8371200, 18312000, 3.58356164, 8.43870968, 155
429, RZRTRT32, 1516, 10829234514000, 9702400, 21224000, 4.15342466, 8.71264368, 174
430, RZRTRT40, 1427, 10267168465000, 9132800, 19978000, 3.90958904, 9.14743590, 156
431, RZRTRT50, 1510, 11167155319000, 9664000, 21140000, 4.13698630, 9.04191617, 167
432, RZRTRT63, 1868, 13681994260000, 11955200, 26152000, 5.11780822, 10.04301075, 186
433, RZRTT20X, 1505, 11165607537000, 9632000, 21070000, 4.12328767, 9.64743590, 156
434, RZRTT25X, 1692, 11626817907000, 10828800, 23688000, 4.63561644, 9.78034682, 173
