id,identification,quantity,cost,price,profit,wage,description
265,RNRTT20X,200,3900,4300,5000,1000000,"-_Noi_thang_ren_trong_phun_PPR_DN_201/2""_PN20_xanh"
266,RNRT1/2X,150,9500,10500,5000,750000,"Noi_thang_ren_trong_phun_PPR_DN_25-1/2""_PN20_xanh"
267,RNRTT25X,120,1100,1300,35000,4200000,"-_Noi_thang_ren_trong_phun_PPR_DN_253/4""_PN20_xanh"
268,RNRTT32X,40,8200,9100,5000,200000,"Noi_thang_ren_trong_phun_PPR_DN_32-1""PN20_xanh"
269,RNRTT40X,40,1600,1800,25000,1000000,"Noi_thang_ren_trong_phun_PPR_DN_40-1.1/4""_PN20_xanh"
270,RNRTT50X,40,10000,11000,15000,600000,"50-_Noi_thang_ren_trong_phun_PPR_DN1.1/2""_PN20_xanh"
271,RT20T20X,400,6800,7500,15000,6000000,Ba_chac_90do_phun_PPR_DN_20_PN20xanh
272,RT25T25X,240,2600,2900,15000,3600000,Ba_chac_90do_phun_PPR_DN_25_PN20xanh
273,RT32T32X,120,3800,4200,25000,3000000,Ba_chac_90do_phun_PPR_DN_32_PN20xanh
274,RT40T40X,60,6100,6800,45000,2700000,Ba_chac_90do_phun_PPR_DN_40_PN20xanh
275,RT50T50X,30,1200,1400,5000,150000,Ba_chac_90do_phun_PPR_DN_50_PN20xanh
276,RT63T63X,25,4900,5400,15000,375000,Ba_chac_90do_phun_PPR_DN_63_PN20xanh
277,RT75T75X,15,2300,2600,25000,375000,Ba_chac_90do_phun_PPR_DN_75_PN20xanh
278,RTC2520X,300,2100,2400,45000,13500000,Ba_chac_90do_CB_phun_PPR_DN_25-20PN20xanh
279,RTC3220X,180,4500,5000,35000,6300000,-20_Ba_chac_90do_CB_phun_PPR_DN_32P20_xanh
280,RTC3225X,150,9100,10100,25000,3750000,-25_Ba_chac_90do_CB_phun_PPR_DN_32PN20xanh
281,RTC4025X,80,4200,4700,45000,3600000,Ba_chac_90do_CB_phun_PPR_DN_40-25PN20_xanh
282,RTC4032X,80,2000,2200,15000,1200000,phun_PPR_DN_40-32_Ba_chac_90do_CBPN20_xanh
283,RTC5025X,60,2200,2500,25000,1500000,Ba_chac_90do_CB_phun_PPR_DN_50-25PN20_xanh
284,RTC5032X,55,1100,1300,25000,1375000,-32_Ba_chac_90do_CB_phun_PPR_DN_50PN20_xanh
285,RTC5040X,50,8400,9300,25000,1250000,Ba_chac_90do_CB_phun_PPR_DN_50-40PN20_xanh
286,RTC6516X,50,4800,5300,35000,1750000,Ba_chac_90do_CB_phun_PPR_DN_63-25PN16_xanh
287,RTC6216X,50,6900,7600,35000,1750000,-32_Ba_chac_90do_CB_phun_PPR_DN_63PN16_xanh
288,RTC6016X,40,3500,3900,35000,1400000,-40_Ba_chac_90do_CB_phun_PPR_DN_63PN16_xanh
289,RTC6350X,30,2200,2500,55000,1650000,-50_Ba_chac_90do_CB_phun_PPR_DN_63PN20_mau_xanh
290,RTC7550X,20,7300,8100,25000,500000,-50_Ba_chac_90do_CB_phun_PPR_DN_75PN20_mau_xanh
291,RTC7563X,20,7800,8600,55000,1100000,-63_Ba_chac_90do_CB_phun_PPR_DN_75PN20_mau_xanh
292,RTC9050X,15,3800,4200,45000,675000,Ba_chac_90do_CB_phun_PPR_DN_90-50PN20_xanh
293,RTRNN20X,10,5100,5700,55000,550000,Ba_chac_90do_ren_ngoai_phun_PPR_DN20-1/2_PN20_xanh
294,RTRN1/2X,10,1800,2000,35000,350000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-1/2_PN20_xanh
295,RTRNN25X,10,4500,5000,25000,250000,Ba_chac_90do_ren_ngoai_phun_PPR_DN25-3/4PN20_xanh
296,RTRTT20X,120,4600,5100,55000,6600000,Ba_chac_90do_ren_trong_phun_PPR_DN20-1/2_PN20_xanh
297,RTRT1/2X,80,1100,1300,15000,1200000,Ba_chac_90do_ren_trong_phun_PPR_DN25-1/2_PN20_xanh
298,RTRTT25X,60,7900,8700,45000,2700000,Ba_chac_90do_ren_trong_phun_PPR_DN25-3/4_PN20_xanh
299,RTRTT32X,40,5100,5700,15000,600000,"Ba_chac_90do_ren_trong_phun_PPR_DN_32-1""_PN20_mau_xanh"
300,RL12L125,30,1800,2000,15000,450000,Noi_goc_90do_phun_PPR_DN_125_PN20
301,RL14L140,30,3300,3700,25000,750000,Noi_goc_90do_phun_PPR_DN_140_PN20
302,RL166016,20,2400,2700,55000,1100000,Noi_goc_90do_phun_PPR_DN_160_PN16
303,RL200016,300,1500000,1650000,25000,7500000,Noi_goc_90do_phun_PPR_DN_200_PN16
304,RN12N125,300,8900,9800,35000,10500000,Noi_thang_phun_PPR_DN_125_PN20
305,RN14N140,300,7100,7900,55000,16500000,Noi_thang_phun_PPR_DN_140_PN20
306,RN16N160,300,6800,7500,45000,13500000,Noi_thang_phun_PPR_DN_160_PN20
307,RN20N200,300,2000000,2200000,45000,13500000,Noi_thang_phun_PPR_DN_200_PN20
308,RNB1B125,300,2600,2900,15000,4500000,Dau_noi_bang_bich_phun_PPR_DN_125PN20
309,RNB1B140,300,3100,3500,5000,1500000,Dau_noi_bang_bich_phun_PPR_DN_140PN20
310,RNB14010,300,7200,8000,45000,13500000,Dau_noi_bang_bich_phun_PPR_DN_140PN10
311,RNB1B160,300,7900,8700,35000,10500000,Dau_noi_bang_bich_phun_PPR_DN_160PN20
312,RNB1B180,300,4500,5000,55000,16500000,Dau_noi_bang_bich_phun_PPR_DN_180PN20
313,RNB2B200,300,2000000,2200000,55000,16500000,Dau_noi_bang_bich_phun_PPR_DN_200PN20
314,RNB20010,300,2800000,3080000,15000,4500000,Dau_noi_bang_bich_phun_PPR_DN_200PN10
315,RNC15110,300,6900,7600,45000,13500000,Noi_thang_CB_phun_PPR_DN_125-110PN20
316,RNC1110D,300,1500,1700,25000,7500000,Noi_thang_CB_phun_PPR_DN_140-110PN20
317,RNC14090,300,9000,9900,15000,4500000,Noi_thang_CB_phun_PPR_DN_140-90PN20
318,RNC10110,300,9500,10500,15000,4500000,-110_Noi_thang_CB_phun_PPR_DN_160PN20
319,RNC10140,300,8500,9400,55000,16500000,-140_Noi_thang_CB_phun_PPR_DN_160PN20
320,RNC20125,300,2100000,2310000,25000,7500000,-125_Noi_thang_CB_phun_PPR_DN_200PN20
321,RT12T125,300,4200,4700,25000,7500000,Ba_chac_90do_phun_PPR_DN_125_PN20
322,RT14T140,300,2800,3100,15000,4500000,Ba_chac_90do_phun_PPR_DN_140_PN20
323,RT166016,300,2600,2900,45000,13500000,Ba_chac_90do_phun_PPR_DN_160_PN16
324,RTC14075,300,8000,8800,55000,16500000,Ba_chac_90do_CB_phun_PPR_DN_140_-75PN20
325,RTC24016,300,1100000,1210000,45000,13500000,Ba_chac_90do_CB_phun_PPR_D_200-140PN16
326,RUB5UB50,300,7100,7900,15000,4500000,Bich_noi_ong_phun_PPR_-UV_DN_50_PN20
327,RUDBDB20,600,6400,7100,35000,21000000,Dau_bit_phun_PPR-UV_DN_20_PN20
328,RUDBDB25,360,9200,10200,25000,9000000,Dau_bit_phun_PPR-UV_DN_25_PN20
329,RUDBDB32,400,2000,2200,5000,2000000,Dau_bit_phun_PPR_-UV_DN_32_PN20
330,RUDBDB40,300,5100,5700,45000,13500000,Dau_bit_phun_PPR_-UV_DN_40_PN20
331,RUDBDB50,120,4400,4900,15000,1800000,Dau_bit_phun_PPR-UV_DN_50_PN20
332,RUL2UL20,280,5600,6200,45000,12600000,Noi_goc_90do_phun_PPR-UV_DN_20PN20
333,RUL2UL25,320,7200,8000,45000,14400000,Noi_goc_90do_phun_PPR-UV_DN_25PN20
334,RUL3UL32,160,1000,1100,15000,2400000,Noi_goc_90do_phun_PPR-UV_DN_32PN20
335,RUL4UL40,80,6800,7500,55000,4400000,Noi_goc_90do_phun_PPR-UV_DN_40PN20
336,RUL5UL50,48,1100,1300,25000,1200000,Noi_goc_90do_phun_PPR-UV_DN_50PN20
337,RUL6UL63,35,4600,5100,55000,1925000,Noi_goc_90do_phun_PPR-UV_DN_63PN20
338,RULK51/2,25,6800,7500,25000,625000,"Noi_goc_90do_kep_ren_trong_PPR_-UV_DN25-1/2""_PN20"
339,RULLLL20,300,7100,7900,35000,10500000,Noi_goc_45do_phun_PPR-UV_DN_20PN20
340,RULLLL25,400,6300,7000,45000,18000000,Noi_goc_45do_phun_PPR-UV_DN_25PN20
341,RULLLL32,240,3100,3500,5000,1200000,Noi_goc_45do_phun_PPR-UV_DN_32PN20
342,RULLLL40,90,9700,10700,45000,4050000,Noi_goc_45do_phun_PPR-UV_DN_40PN20
343,RULLLL50,60,3400,3800,35000,2100000,RULLLL50
344,RULLLL63,50,3600,4000,15000,750000,RULLLL63
345,RULRRN20,50,9800,10800,35000,1750000,"-UV_Noi_goc_90do_ren_ngoai_phun_PPRDN20-1/2""_PN2"
346,RULRRN25,50,4100,4600,45000,2250000,"Noi_goc_90do_ren_ngoai_phun_PPR-UVDN_25-3/4""_PN20"
347,RULR1/2D,50,4400,4900,5000,250000,"UV_Noi_goc_90do_ren_ngoai_phun_PPRDN_25-1/2""_PN20"
348,RULRRT20,150,4200,4700,25000,3750000,"Noi_goc_90do_ren_trong_phun_PPR-UVDN_20-1/2""_PN20"
349,RULRRT25,120,4000,4400,35000,4200000,"Noi_goc_90do_ren_trong_phun_PPR-UVDN_25-3/4""_PN20"
350,RULR51/2,100,5800,6400,15000,1500000,"UV_Noi_goc_90do_ren_trong_phun_PPRDN_25-1/2""_PN20"
351,RUN2UN20,100,3000,3300,15000,1500000,Noi_thang_phun_PPR-UV_DN_20_PN20
352,RUN2UN25,100,5500,6100,15000,1500000,Noi_thang_phun_PPR_-UV_DN_25_PN20
353,RUN3UN32,100,2400,2700,45000,4500000,Noi_thang_phun_PPR-UV_DN_32_PN20
354,RUN4UN40,100,9800,10800,25000,2500000,Noi_thang_phun_PPR_-UV_DN_40_PN20
355,RUN5UN50,100,4900,5400,5000,500000,Noi_thang_phun_PPR_-UV_DN_50_PN20
356,RUN6UN63,100,8900,9800,25000,2500000,Noi_thang_phun_PPR_-UV_DN_63_PN20
357,RUNC2520,280,4400,4900,55000,15400000,Noi_thang_CB_phun_PPRPN20
358,RUNC3220,360,9000,9900,45000,16200000,Noi_thang_CB_phun_PPRPN20
359,RUNC3225,300,3100,3500,25000,7500000,Noi_thang_CB_phun_PPR-UV_DN_32-25PN20
360,RUNC4020,200,1800,2000,55000,11000000,Noi_thang_CB_phun_PPRPN20
361,RUNC4025,200,1800,2000,45000,9000000,Noi_thang_CB_phun_PPR-UV_DN_40-25PN20
362,RUNC4032,180,1300,1500,55000,9900000,Noi_thang_CB_phun_PPR-UV_DN_40-32PN20
363,RUNC5020,120,6300,7000,35000,4200000,Noi_thang_CB_phun_PPRPN20
364,RUNC5025,120,6500,7200,35000,4200000,Noi_thang_CB_phun_PPR-UV_DN_50-25PN20
365,RUNC5032,120,8500,9400,55000,6600000,Noi_thang_CB_phun_PPRPN20
366,RUNC5040,100,7700,8500,15000,1500000,Noi_thang_CB_phun_PPR-UV_DN_50-40PN20
367,RUNC6332,100,2400,2700,45000,4500000,Noi_thang_CB_phun_PPRPN20
368,RUNC6340,80,6800,7500,55000,4400000,Noi_thang_CB_phun_PPRPN20
369,RUNC6350,70,3600,4000,45000,3150000,Noi_thang_CB_phun_PPR-UV_DN_63-50PN20
370,RUNRRN20,150,9000,9900,45000,6750000,"Noi_thang_ren_ngoai_phun_PPR201/2""_PN20"
371,RUNRRN25,90,4600,5100,45000,4050000,"Noi_thang_ren_ngoai_phun_PPR-UV_DN253/4""_PN20"
372,RUNR1/2D,120,6100,6800,15000,1800000,"Noi_thang_ren_ngoai_phun_PPR25-1/2""_PN20"
373,RUNRRN32,40,1100,1300,15000,600000,Noi_thang_ren_ngoai32-1''_PN20
374,RUNRRN40,40,8700,9600,55000,2200000,Noi_thang_ren_ngoai40-1.1/4''_PN20
375,RUNRRN50,40,3900,4300,45000,1800000,Noi_thang_ren_ngoai50
376,RUNRRN63,15,2000,2200,55000,825000,Noi_thang_ren_ngoai63-2''_PN20
377,RUNRRT20,200,8600,9500,55000,11000000,"Noi_thang_ren_trong_phun_PPR20-1/2""_PN20"
378,RUNRRT25,120,2800,3100,25000,3000000,"Noi_thang_ren_trong_phun_PPR-UV_DN25-3/4""_PN20"
379,RUNR51/2,150,7500,8300,15000,2250000,"Noi_thang_ren_trong_phun_PPR25-1/2""_PN20"
380,RUNRRT32,40,6600,7300,25000,1000000,Noi_thang_ren_trong_phun_PPR32-1''_PN20
381,RUNRRT40,40,9400,10400,45000,1800000,Noi_thang_ren_trong_phun_PPR-UV_DN40-1.1/4''_PN20
382,RUNRRT50,40,7700,8500,15000,600000,Noi_thang_ren_trong_phun_PPR50-1.1/2''_PN20
383,RUNRRT63,15,3200,3600,25000,375000,Noi_thang_ren_trong_phun_PPR-UV_DN63-2''_PN20
384,RUOT2020,210,3000,3300,15000,3150000,Ong_tranh_phun_PPR_-UV_DN_20_PN20
385,RUOTOT25,120,5800,6400,55000,6600000,Ong_tranh_phun_PPR_-UV_DN_25_PN20
386,RUT2UT20,400,3700,4100,45000,18000000,RUT2UT20
387,RUT2UT25,240,7800,8600,5000,1200000,RUT2UT25
388,RUT3UT32,120,4500,5000,55000,6600000,RUT3UT32
389,RUT4UT40,60,4600,5100,25000,1500000,RUT4UT40
390,RUT5UT50,30,3900,4300,35000,1050000,RUT5UT50
391,RUT6UT63,25,3500,3900,45000,1125000,Ba_chac_90do_phun_PPR-UV_DN_63PN20
392,RUTC2520,280,6700,7400,35000,9800000,Ba_chac_90do_CB_phun_PPR-UV_DN_25-20PN20
393,RUTC3220,180,3500,3900,35000,6300000,Ba_chac_90do_CB_phun_PPR_-UV_DN_32-2PN20
394,RUTC3225,150,1800,2000,5000,750000,Ba_chac_90do_CB_phun_PPR-UV_DN_32-25PN20
395,RUTC4020,100,8400,9300,5000,500000,Ba_chac_90do_CB_phun_PPR_-UV_DN_40-20PN20
396,RUTC4025,80,7900,8700,15000,1200000,Ba_chac_90do_CB_phun_PPR-UV_DN_40-25PN20
397,RUTC4032,80,5500,6100,55000,4400000,Ba_chac_90do_CB_phun_PPR-UV_DN_40-32_PN20
398,RUTC5020,64,2600,2900,45000,2880000,Ba_chac_90do_CB_phun_PPR_-UV_DN_50-20_PN20
399,RUTC5025,60,3800,4200,55000,3300000,Ba_chac_90do_CB_phun_PPR-UV_DN_50-25_PN20
400,RUTC5032,55,9300,10300,45000,2475000,Ba_chac_90do_CB_phun_PPR_-UV_DN_50-32_PN20
401,RUTC5040,50,1600,1800,45000,2250000,Ba_chac_90do_CB_phun_PPR-UV_DN_50-40_PN20
402,RUTC6325,50,2700,3000,45000,2250000,Ba_chac_90do_CB_phun_PPR_-UV_DN_63-25_PN20
403,RUTC6332,50,4400,4900,35000,1750000,Ba_chac_90do_CB_phun_PPR_-UV_DN_63-32_PN20
404,RUTC6350,30,4000,4400,45000,1350000,Ba_chac_90do_CB_phun_PPR-UV_DN_63-50_PN20
405,RUTRRN20,30,3200,3600,15000,450000,"UV_Ba_chac_90do_ren_ngoai_phun_PPRDN_20-1/2""_PN20"
406,RUTRRN25,30,8600,9500,5000,150000,Ba_chac_90do_ren_ngoai_phun_PPR-UVDN_25-3/4_PN20
407,RUTR1/2D,30,7000,7700,45000,1350000,"UV_Ba_chac_90do_ren_ngoai_phun_PPRDN_25-1/2""_PN20"
408,RUTRRN32,40,3400,3800,55000,2200000,"Ba_chac_90do_ren_ngoai_phun_PPR-UVDN_32-1""_PN20"
409,RUTRRT20,120,3500,3900,15000,1800000,"Ba_chac_90do_ren_trong_phun_PPR-UVDN_20-1/2""_PN20"
410,RUTRRT25,60,2900,3200,5000,300000,-UV_Ba_chac_90do_ren_trong_phun_PPRDN_25-3/4_PN20
411,RUTR51/2,80,10000,11000,25000,2000000,"UV_Ba_chac_90do_ren_trong_phun_PPRDN_25-1/2""_PN20"
412,RUV2UV20,60,250000,275000,55000,3300000,Van_chan_phun_PPR_-UV_DN_20
413,RUV2UV25,60,240000,264000,45000,2700000,Van_chan_phun_PPR_-UV_DN_25
414,RUV3UV32,36,420000,462000,35000,1260000,Van_chan_phun_PPR_-UV_DN_32
415,RUV4UV40,20,320000,352000,15000,300000,Van_chan_phun_PPR_-UV_DN_40
416,RUV5UV50,20,220000,242000,45000,900000,Van_chan_phun_PPR-UV_DN_50
417,RUVCVC20,60,400000,440000,35000,2100000,Van_cua_phun_PPR-UV_DN_20
418,RUVCVC25,40,330000,363000,55000,2200000,Van_cua_phun_PPR_-UV_DN_25
419,RUVCVC32,30,190000,209000,55000,1650000,Van_cua_phun_PPR_-UV_DN_32
420,RUVCVC40,12,460000,506000,35000,420000,Van_cua_phun_PPR-UV_DN_40
421,RUVCVC50,12,170000,187000,5000,60000,Van_cua_phun_PPR-UV_DN_50
422,RUVCVC63,8,210000,231000,15000,120000,Van_cua_phun_PPR_-UV_DN_63
423,RUZCZC20,8,5200,5800,5000,40000,Zac_co_phun_PPR_-UV_DN_20
424,RUZCZC25,8,1600,1800,55000,440000,Zac_co_phun_PPR-UV_DN_25
425,RUZCZC32,8,4000,4400,15000,120000,Zac_co_phun_PPR-UV_DN_32
426,RUZCZC40,8,7700,8500,15000,120000,Zac_co_phun_PPR_-UV_DN_40
427,RUZCZC50,8,1800,2000,15000,120000,Zac_co_phun_PPR_-UV_DN_50
428,RUZCZC63,8,5400,6000,45000,360000,Zac_co_phun_PPR-UV_DN_63
429,RUZRRN20,90,3800,4200,25000,2250000,"Zacco_ren_ngoai_phun_PPR-UV_DN_20-1/2""PN20"
430,RUZRRN25,30,2200,2500,15000,450000,"-UV_DN_25-_Zacco_ren_ngoai_phun_PPR3/4""_PN20"
431,RUZRRN32,30,5500,6100,55000,1650000,"Zacco_ren_ngoai_phun_PPR-UV_DN_32-1""PN20"
432,RUZRRN40,24,4300,4800,45000,1080000,-UV_DN_40-_Zacco_ren_ngoai_phun_PPR1.1/4_PN20
433,RUZRRN63,12,7300,8100,15000,180000,"Zac_co_ren_ngoai_phun_PPR-UV_DN_63_-2""_PN20"
434,RUZRRT25,30,5700,6300,45000,1350000,"Zacco_ren_trong_phun_PPR-UV_DN_25-3/4""_PN20"
